enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave,correct_label
0.0,0.09482789039611816,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09183406829833984,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.0932769775390625,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09368348121643066,0.0,0.0,0.0,0.0,-1,-1,0,1
0.0,0.09165716171264648,0.0,0.0,0.0,0.0,-1,-1,0,1
0.775252103805542,0.09152436256408691,0.0010464191436767578,0.0193631649017334,0.7956616878509521,4.696846008300781e-05,1,1,1,1
0.7849669456481934,0.09264898300170898,0.001012563705444336,0.019344568252563477,0.8053240776062012,5.245208740234375e-05,1,1,1,1
0.7612776756286621,0.09199333190917969,0.00098419189453125,0.019397735595703125,0.7816596031188965,4.792213439941406e-05,1,1,1,1
0.7787289619445801,0.09164810180664062,0.0009958744049072266,0.019248008728027344,0.7989728450775146,4.76837158203125e-05,1,1,1,1
0.7803916931152344,0.09170937538146973,0.0010097026824951172,0.019563913345336914,0.8009653091430664,8.416175842285156e-05,1,1,1,1
0.7653460502624512,0.09190726280212402,0.0359804630279541,0.01922750473022461,0.8205540180206299,0.002088785171508789,1,1,2,1
0.78304123878479,0.09218430519104004,0.03617143630981445,0.019727706909179688,0.8389403820037842,0.0020911693572998047,1,1,2,1
0.7920246124267578,0.09241032600402832,0.035936594009399414,0.019449710845947266,0.8474109172821045,0.002133607864379883,1,1,2,1
0.791776180267334,0.09194254875183105,0.0360109806060791,0.019393205642700195,0.8471803665161133,0.0020668506622314453,1,1,2,1
0.7820444107055664,0.09162306785583496,0.03575396537780762,0.019485950469970703,0.8372843265533447,0.0022172927856445312,1,1,2,1
0.7808187007904053,0.09073758125305176,0.07648468017578125,0.019428730010986328,0.8767321109771729,0.00472712516784668,1,1,3,1
0.7820546627044678,0.0919501781463623,0.07612204551696777,0.019472122192382812,0.8776488304138184,0.004647731781005859,1,1,3,1
0.7602458000183105,0.09208369255065918,0.0758662223815918,0.01934075355529785,0.8554527759552002,0.004763603210449219,1,1,3,1
0.7745168209075928,0.09183764457702637,0.07588648796081543,0.019608497619628906,0.8700118064880371,0.004609823226928711,1,1,3,1
0.7805817127227783,0.09232616424560547,0.07733798027038574,0.019496679306030273,0.8774163722991943,0.004698038101196289,1,1,3,1
0.7895352840423584,0.08729338645935059,1.6375539302825928,0.019433975219726562,2.4465231895446777,0.17302703857421875,1,1,4,1
0.7843351364135742,0.08831501007080078,1.6337788105010986,0.019437313079833984,2.437551259994507,0.17200255393981934,1,1,4,1
0.7891900539398193,0.08705306053161621,1.6376209259033203,0.019858121871948242,2.446669101715088,0.1724410057067871,1,1,4,1
0.7647736072540283,0.0861663818359375,1.6223866939544678,0.01969623565673828,2.4068565368652344,0.16666245460510254,1,1,4,1
0.7777628898620605,0.08632850646972656,1.6313626766204834,0.01952528953552246,2.4286508560180664,0.17188405990600586,1,1,4,1
0.7835328578948975,0.08808708190917969,1.6284167766571045,0.019564151763916016,2.431513786315918,0.16743946075439453,1,1,5,1
0.7703907489776611,0.08610010147094727,1.6314074993133545,0.019716739654541016,2.4215149879455566,0.16747784614562988,1,1,5,1
0.7812182903289795,0.08675622940063477,1.62103271484375,0.01948690414428711,2.4217379093170166,0.16754913330078125,1,1,5,1
0.7863669395446777,0.08557009696960449,1.623967170715332,0.01971745491027832,2.430051565170288,0.16756916046142578,1,1,5,1
0.7876057624816895,0.08710122108459473,1.6250801086425781,0.019639015197753906,2.4323248863220215,0.16589736938476562,1,1,5,1
0.7622723579406738,0.08611536026000977,1.6303892135620117,0.019570112228393555,2.412231683731079,0.1723189353942871,1,1,6,1
0.7695586681365967,0.0873873233795166,1.6351778507232666,0.019680500030517578,2.424417018890381,0.1683652400970459,1,1,6,1
0.7765414714813232,0.08545970916748047,1.644853115081787,0.01981973648071289,2.4412143230438232,0.17387747764587402,1,1,6,1
0.7800216674804688,0.08719635009765625,1.6391820907592773,0.020050525665283203,2.4392542839050293,0.1735978126525879,1,1,6,1
0.7834689617156982,0.08611249923706055,1.6326878070831299,0.019664764404296875,2.435821533203125,0.1674647331237793,1,1,6,1
0.7907476425170898,0.08551430702209473,5.289394855499268,0.019488811492919922,6.099631309509277,2.700140953063965,1,1,7,1
0.7733948230743408,0.08454680442810059,5.279744863510132,0.019683122634887695,6.07282280921936,2.6917920112609863,1,1,7,1
0.7745368480682373,0.08654308319091797,5.276451826095581,0.019498348236083984,6.070487022399902,2.693213939666748,1,1,7,1
0.7877459526062012,0.08405947685241699,5.282763719558716,0.019786596298217773,6.090296268463135,2.6924877166748047,1,1,7,1
0.7742428779602051,0.08734464645385742,5.276737213134766,0.01975107192993164,6.070731163024902,2.69248104095459,1,1,7,1
0.7914235591888428,0.08055663108825684,8.94643521308899,0.01984262466430664,9.757701396942139,5.232489347457886,1,1,8,1
0.7871670722961426,0.08201313018798828,8.936677932739258,0.019698143005371094,9.743543148040771,5.215534210205078,1,1,8,1
0.7762420177459717,0.0822451114654541,8.928205966949463,0.01970672607421875,9.724154710769653,5.216432809829712,1,1,8,1
0.7842121124267578,0.08318471908569336,8.917489051818848,0.019539356231689453,9.721240520477295,5.2137439250946045,1,1,8,1
0.7835614681243896,0.08132100105285645,8.936551094055176,0.01988673210144043,9.739999294281006,5.2241480350494385,1,1,8,1
0.7692699432373047,0.0797262191772461,12.588069915771484,0.01990675926208496,13.377246618270874,7.746539831161499,1,1,9,1
