enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave
0.0,0.010843753814697266,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.004124879837036133,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.004471778869628906,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.004404783248901367,0.0,0.0,0.0,0.0,-1,-1,0
0.0,0.004400014877319336,0.0,0.0,0.0,0.0,-1,-1,0
1.412559986114502,0.0041387081146240234,5.555152893066406e-05,0.0793769359588623,1.491992473602295,7.486343383789062e-05,3,3,1
1.3812358379364014,0.004071712493896484,5.8650970458984375e-05,0.07881784439086914,1.4601123332977295,7.867813110351562e-05,3,3,1
1.4106736183166504,0.004150390625,5.340576171875e-05,0.07897162437438965,1.4896986484527588,8.58306884765625e-05,3,3,1
1.3745341300964355,0.004304409027099609,9.965896606445312e-05,0.07876133918762207,1.453395128250122,7.82012939453125e-05,3,3,1
1.3924012184143066,0.004246950149536133,5.817413330078125e-05,0.07913684844970703,1.4715962409973145,7.963180541992188e-05,3,3,1
1.3861420154571533,0.0040395259857177734,5.8650970458984375e-05,0.08057403564453125,1.4667747020721436,7.82012939453125e-05,3,3,2
1.4137835502624512,0.003972768783569336,5.7220458984375e-05,0.07889723777770996,1.4927380084991455,7.724761962890625e-05,3,3,2
1.3619492053985596,0.003983497619628906,5.793571472167969e-05,0.08030486106872559,1.4423120021820068,8.058547973632812e-05,3,3,2
1.3737516403198242,0.004192352294921875,5.6743621826171875e-05,0.07919430732727051,1.453002691268921,7.867813110351562e-05,3,3,2
1.3795151710510254,0.0039060115814208984,5.698204040527344e-05,0.07913899421691895,1.4587111473083496,0.00012946128845214844,3,3,2
1.3612353801727295,0.0031859874725341797,0.009648323059082031,0.07974600791931152,1.450629711151123,0.010618209838867188,3,3,3
1.3634417057037354,0.00319671630859375,0.008822917938232422,0.07834911346435547,1.4506137371063232,0.0090789794921875,3,3,3
1.4286832809448242,0.003353595733642578,0.009766101837158203,0.07832026481628418,1.5167696475982666,0.010166406631469727,3,3,3
1.3636698722839355,0.0030210018157958984,0.010481119155883789,0.07829451560974121,1.4524455070495605,0.009665966033935547,3,3,3
1.3839397430419922,0.0032193660736083984,0.011281728744506836,0.07834887504577637,1.4735703468322754,0.009677886962890625,3,3,3
1.3985099792480469,0.0029582977294921875,0.00981903076171875,0.07837510108947754,1.4867041110992432,0.010608196258544922,3,3,4
1.4023149013519287,0.0030488967895507812,0.010469675064086914,0.07901239395141602,1.4917969703674316,0.01090097427368164,3,3,4
1.3659753799438477,0.003260374069213867,0.011141777038574219,0.07811450958251953,1.4552316665649414,0.009876012802124023,3,3,4
1.4021508693695068,0.0030510425567626953,0.01170659065246582,0.07779622077941895,1.4916536808013916,0.011638641357421875,3,3,4
1.400282382965088,0.0029342174530029297,0.008794307708740234,0.07797002792358398,1.487046718597412,0.009758710861206055,3,3,4
1.4375975131988525,0.002897500991821289,0.009580850601196289,0.07812094688415527,1.525299310684204,0.011634349822998047,3,3,5
1.3834753036499023,0.0028100013732910156,0.010246992111206055,0.07818436622619629,1.4719066619873047,0.010024309158325195,3,3,5
1.4371609687805176,0.003091096878051758,0.011230707168579102,0.07979249954223633,1.528184175491333,0.01249384880065918,3,3,5
1.3701062202453613,0.002774477005004883,0.009782075881958008,0.08058834075927734,1.4604766368865967,0.0132904052734375,3,3,5
1.4903297424316406,0.003128528594970703,0.013596773147583008,0.08589386940002441,1.589820384979248,0.014150857925415039,3,3,5
1.408879280090332,0.002732992172241211,0.012051105499267578,0.07844996452331543,1.499380350112915,0.011420011520385742,3,3,6
1.5075993537902832,0.0030710697174072266,0.010478496551513672,0.08275437355041504,1.600832223892212,0.01214599609375,3,3,6
1.4166483879089355,0.002863645553588867,0.010719060897827148,0.07844972610473633,1.505817174911499,0.013351678848266602,3,3,6
1.4302563667297363,0.0029058456420898438,0.00918126106262207,0.07918000221252441,1.5186176300048828,0.012134313583374023,3,3,6
1.3822581768035889,0.0028772354125976562,0.00959634780883789,0.0788872241973877,1.4707417488098145,0.013794898986816406,3,3,6
1.3958008289337158,0.001905679702758789,0.09781670570373535,0.08308649063110352,1.5767040252685547,0.09282374382019043,3,3,7
1.3928463459014893,0.0018689632415771484,0.0986628532409668,0.07897591590881348,1.5704851150512695,0.09484219551086426,3,3,7
1.4141952991485596,0.0023169517517089844,0.10025143623352051,0.07909989356994629,1.5935466289520264,0.09735679626464844,3,3,7
1.4046752452850342,0.0019228458404541016,0.09908413887023926,0.07920360565185547,1.582962989807129,0.096221923828125,3,3,7
1.4516844749450684,0.001867055892944336,0.0974733829498291,0.07874727249145508,1.6279051303863525,0.0940546989440918,3,3,7
1.373448133468628,0.0005702972412109375,0.0944681167602539,0.07848119735717773,1.5463974475860596,0.09624695777893066,3,3,8
1.6210014820098877,0.0007531642913818359,0.09894227981567383,0.08394765853881836,1.8038914203643799,0.09996747970581055,3,3,8
1.467991828918457,0.0005223751068115234,0.09574103355407715,0.07989740371704102,1.6436302661895752,0.09607410430908203,3,3,8
1.42521071434021,0.0005156993865966797,0.09355998039245605,0.07842469215393066,1.5971953868865967,0.09763288497924805,3,3,8
1.4019649028778076,0.0005056858062744141,0.0930476188659668,0.08267331123352051,1.577685832977295,0.0975949764251709,3,3,8
