enclave_setup_time,tf_time,enclave_time,teardown_time,combined_enclave_time,native_time,enclave_label,native_label,layers_in_enclave
0.0,1.3212907314300537,0.0,0.0,0.0,0.0,-1,-1,0
0.0,1.330688238143921,0.0,0.0,0.0,0.0,-1,-1,0
0.0,1.3179810047149658,0.0,0.0,0.0,0.0,-1,-1,0
0.0,1.3091566562652588,0.0,0.0,0.0,0.0,-1,-1,0
0.0,1.3410861492156982,0.0,0.0,0.0,0.0,-1,-1,0
1.391721487045288,1.3435959815979004,0.0007135868072509766,0.07689499855041504,1.469330072402954,0.0007309913635253906,64,64,1
1.386906385421753,1.3118953704833984,0.0006995201110839844,0.0767357349395752,1.464341640472412,0.0007262229919433594,64,64,1
1.3919782638549805,1.318429946899414,0.0007600784301757812,0.07682681083679199,1.4695651531219482,0.0007417201995849609,64,64,1
1.3767311573028564,1.3257462978363037,0.0007250308990478516,0.07676315307617188,1.4542193412780762,0.0007390975952148438,64,64,1
1.387387990951538,1.3324925899505615,0.0007100105285644531,0.07694506645202637,1.465043067932129,0.0007412433624267578,64,64,1
1.3994061946868896,1.3190207481384277,0.0009114742279052734,0.07692527770996094,1.4772429466247559,0.0007388591766357422,64,64,2
1.3782637119293213,1.3191022872924805,0.0009000301361083984,0.0767524242401123,1.455916166305542,0.0007424354553222656,64,64,2
1.3667056560516357,1.3346326351165771,0.0008795261383056641,0.07682442665100098,1.4444096088409424,0.0007491111755371094,64,64,2
1.433295488357544,1.3398082256317139,0.0008852481842041016,0.07689428329467773,1.5110750198364258,0.0007426738739013672,64,64,2
1.3597161769866943,1.3195538520812988,0.0008709430694580078,0.07670474052429199,1.4372918605804443,0.0007691383361816406,64,64,2
1.3978383541107178,1.3364276885986328,0.08160805702209473,0.07754278182983398,1.5569891929626465,0.0859684944152832,64,64,3
1.391599178314209,1.3269588947296143,0.08305025100708008,0.07760167121887207,1.5522511005401611,0.08731198310852051,64,64,3
1.380361795425415,1.337233543395996,0.08174824714660645,0.07712101936340332,1.5392310619354248,0.08901095390319824,64,64,3
1.384727954864502,1.3353123664855957,0.07901549339294434,0.07738685607910156,1.5411303043365479,0.08939599990844727,64,64,3
1.3948273658752441,1.3235936164855957,0.08322525024414062,0.07712626457214355,1.5551788806915283,0.08635210990905762,64,64,3
1.390418529510498,1.3330931663513184,0.08570647239685059,0.07834339141845703,1.5544683933258057,0.08945870399475098,64,64,4
1.3747682571411133,1.3220126628875732,0.07963395118713379,0.07857179641723633,1.5329740047454834,0.08987569808959961,64,64,4
1.3721730709075928,1.3159520626068115,0.08397293090820312,0.07822513580322266,1.5343711376190186,0.08885717391967773,64,64,4
1.3703179359436035,1.3310933113098145,0.08217287063598633,0.07755875587463379,1.5300495624542236,0.0890035629272461,64,64,4
1.3646125793457031,1.3361904621124268,0.08309817314147949,0.07689142227172852,1.5246021747589111,0.08790087699890137,64,64,4
1.3723881244659424,1.1890647411346436,0.0919485092163086,0.07735848426818848,1.5416951179504395,0.09871530532836914,64,64,5
1.3821091651916504,1.2151966094970703,0.0984041690826416,0.07755041122436523,1.5580637454986572,0.09696674346923828,64,64,5
1.4010801315307617,1.1924514770507812,0.08982396125793457,0.0777578353881836,1.5686619281768799,0.09452962875366211,64,64,5
1.3718111515045166,1.2056794166564941,0.09294605255126953,0.07725358009338379,1.54201078414917,0.09443211555480957,64,64,5
1.3780276775360107,1.2018144130706787,0.09868550300598145,0.07867741584777832,1.5553905963897705,0.09629344940185547,64,64,5
1.3719592094421387,1.1923868656158447,0.09614872932434082,0.0770106315612793,1.5451185703277588,0.09681177139282227,64,64,6
1.3736035823822021,1.2358100414276123,0.09931421279907227,0.0770258903503418,1.5499436855316162,0.09880328178405762,64,64,6
1.3711483478546143,1.1914117336273193,0.08921647071838379,0.07871866226196289,1.539083480834961,0.10247421264648438,64,64,6
1.3695435523986816,1.2058262825012207,0.0935661792755127,0.07813644409179688,1.5412461757659912,0.10009074211120605,64,64,6
1.3693199157714844,1.1954481601715088,0.09327554702758789,0.07704043388366699,1.5396358966827393,0.098297119140625,64,64,6
1.3701322078704834,1.2020440101623535,0.09405970573425293,0.07864141464233398,1.5428333282470703,0.09518003463745117,64,64,7
1.379615306854248,1.1859502792358398,0.09886670112609863,0.07731032371520996,1.5557923316955566,0.10259366035461426,64,64,7
1.3759572505950928,1.2079081535339355,0.0932776927947998,0.07770276069641113,1.5469377040863037,0.09468269348144531,64,64,7
1.3896000385284424,1.188338041305542,0.09929704666137695,0.0771331787109375,1.5660302639007568,0.09779691696166992,64,64,7
1.3943421840667725,1.2018280029296875,0.09616255760192871,0.07692265510559082,1.567427396774292,0.0937812328338623,64,64,7
1.4010090827941895,1.2075037956237793,2.6238157749176025,0.07762742042541504,4.102452278137207,2.6233890056610107,64,64,8
1.4007608890533447,1.1938843727111816,2.621143102645874,0.07749271392822266,4.099396705627441,2.621401786804199,64,64,8
1.4091084003448486,1.2058322429656982,2.620635509490967,0.07770395278930664,4.107447862625122,2.6242499351501465,64,64,8
1.4045124053955078,1.2193655967712402,2.6174821853637695,0.07732152938842773,4.099316120147705,2.6322319507598877,64,64,8
1.40946364402771,1.1931121349334717,2.6176249980926514,0.07759952545166016,4.1046881675720215,2.6319339275360107,64,64,8
1.3982083797454834,1.2115461826324463,5.412464141845703,0.07774496078491211,6.888417482376099,5.591146230697632,64,64,9
1.3968913555145264,1.2031729221343994,5.417711019515991,0.0777587890625,6.892361164093018,5.583659410476685,64,64,9
